# lunarne efemeride 1995-2000
# datum RA[h] Dec[stopinje]
MAY7 3.12617 13.44744
MAY8 4.06328 16.04317
MAY9 4.99653 17.68028
MAY10 5.91575 18.31697
MAY11 6.81136 17.98947
MAY12 7.67681 16.79103
MAY13 8.50994 14.84614
MAY14 9.31308 12.28833
MAY15 10.09208 9.24700
MAY16 10.85531 5.84328
MAY17 11.61253 2.19317
MAY18 12.37431 -1.58508
MAY19 13.15128 -5.36167
MAY20 13.95347 -8.98664
MAY21 14.78919 -12.28489
MAY22 15.66361 -15.05867
MAY23 16.57694 -17.10153
MAY24 17.52328 -18.22547
MAY25 18.49083 -18.29622
MAY26 19.46450 -17.26458
MAY27 20.42994 -15.17956
MAY28 21.37758 -12.17847
MAY29 22.30428 -8.46122
MAY30 23.21278 -4.26300
MAY31 0.10986 0.16583
JUN1 1.00400 4.57111
JUN2 1.90303 8.70242
JUN3 2.81194 12.32258
JUN4 3.73139 15.22269
JUN5 4.65683 17.24261
JUN6 5.57933 18.29025
JUN7 6.48778 18.35156
JUN8 7.37206 17.48469
JUN9 8.22572 15.80033
JUN10 9.04714 13.43628
JUN11 9.83942 10.53569
JUN12 10.60925 7.23411
JUN13 11.36589 3.65594
JUN14 12.12003 -0.08158
JUN15 12.88322 -3.86014
JUN16 13.66717 -7.54919
JUN17 14.48275 -10.99578
